Ptr: 0x8008F446, Size: 0x00000040
Ptr: 0x8008F487, Size: 0x00000040
Ptr: 0x8008F4C8, Size: 0x00000040
Ptr: 0x8008F509, Size: 0x00000040
Ptr: 0x8008F54A, Size: 0x00000040
Ptr: 0x8008F58B, Size: 0x00000040
Ptr: 0x8008F5CC, Size: 0x00000040
Ptr: 0x8008F60D, Size: 0x00000040
Ptr: 0x8008F64E, Size: 0x00000040
Ptr: 0x8008F68F, Size: 0x00000040
Ptr: 0x8008F6D0, Size: 0x00000040
Ptr: 0x8008F711, Size: 0x00000040
Ptr: 0x8008F752, Size: 0x00000040
Ptr: 0x8008F793, Size: 0x00000040
Ptr: 0x8008F7D4, Size: 0x00000040
Ptr: 0x8008F815, Size: 0x00000040
Ptr: 0x8008F856, Size: 0x00000040
Ptr: 0x8008F897, Size: 0x00000040
Ptr: 0x8008F8D8, Size: 0x00000040
Ptr: 0x8008F919, Size: 0x00000040
Ptr: 0x8008F95A, Size: 0x00000040
Ptr: 0x8008F99B, Size: 0x00000040
Ptr: 0x8008F9DC, Size: 0x00000040
Ptr: 0x8008FA1D, Size: 0x00000040
Ptr: 0x8008FA5E, Size: 0x00000040
Ptr: 0x8008FA9F, Size: 0x00000040
Ptr: 0x8008FAE0, Size: 0x00000040
Ptr: 0x8008FB21, Size: 0x00000040
Ptr: 0x8008FB62, Size: 0x00000040
Ptr: 0x8008FBA3, Size: 0x00000040
Ptr: 0x8008FBE4, Size: 0x00000040
Ptr: 0x8008FC25, Size: 0x00000040
Ptr: 0x8008FC66, Size: 0x00000040
Ptr: 0x8008FCA7, Size: 0x00000040
Ptr: 0x8008FCE8, Size: 0x00000040
Ptr: 0x8008FD29, Size: 0x00000040
Ptr: 0x8008FD6A, Size: 0x00000040
Ptr: 0x8008FDAB, Size: 0x00000040
Ptr: 0x8008FDEC, Size: 0x00000040
Ptr: 0x8008FE2D, Size: 0x00000040
Ptr: 0x8008FE6E, Size: 0x00000040
Ptr: 0x8008FEAF, Size: 0x00000040
Ptr: 0x8008FEF0, Size: 0x00000040
Ptr: 0x8008FF31, Size: 0x00000040
Ptr: 0x8008FF72, Size: 0x00000040
Ptr: 0x8008FFB3, Size: 0x00000040
Ptr: 0x8008FFF4, Size: 0x00000040
Ptr: 0x80090035, Size: 0x00000040
Ptr: 0x80090076, Size: 0x00000040
Ptr: 0x800900B7, Size: 0x00000040
Ptr: 0x800900F8, Size: 0x00000040
Ptr: 0x80090139, Size: 0x00000040
Ptr: 0x8009017A, Size: 0x00000040
Ptr: 0x800901BB, Size: 0x00000040
Ptr: 0x800901FC, Size: 0x00000040
Ptr: 0x8009023D, Size: 0x00000040
Ptr: 0x8009027E, Size: 0x00000040
Ptr: 0x800902BF, Size: 0x00000040
Ptr: 0x80090300, Size: 0x00000040
Ptr: 0x80090341, Size: 0x00000040
Ptr: 0x80090382, Size: 0x00000040
Ptr: 0x800903C3, Size: 0x00000040
Ptr: 0x80090404, Size: 0x00000040
Ptr: 0x80090445, Size: 0x00000040
Ptr: 0x80090486, Size: 0x00000040
Ptr: 0x800904C7, Size: 0x00000040
Ptr: 0x80090508, Size: 0x00000040
Ptr: 0x80090549, Size: 0x00000040
Ptr: 0x8009058A, Size: 0x00000040
Ptr: 0x800905CB, Size: 0x00000040
Ptr: 0x8009060C, Size: 0x00000040
Ptr: 0x8009064D, Size: 0x00000040
Ptr: 0x8009068E, Size: 0x00000040
